date,time,group,% change
2026-09-04,15:29,20MICRONS,14.8869
2026-09-04,15:29,360ONE,31.4679
2026-09-04,15:29,3MINDIA,17.8072
2026-09-04,15:29,5PAISA,4.4899
2026-09-04,15:29,63MOONS,29.0869
2026-09-04,15:29,AADHARHFC,16.6164
2026-09-04,15:29,AARTIDRUGS,26.8812
2026-09-04,15:29,AARTIIND,28.5565
2026-09-04,15:29,AARTIPHARM,16.219
2026-09-04,15:29,ABB,44.7676
2026-09-04,15:29,ABCAPITAL,149.6455
2026-09-04,15:29,ABDL,89.7496
2026-09-04,15:29,ABSLAMC,79.6854
2026-09-04,15:29,ACE,-2.2454
2026-09-04,15:29,ACMESOLAR,107.8878
2026-09-04,15:29,ACUTAAS,190.3471
2026-09-04,15:29,ADANIENSOL,79.9796
2026-09-04,15:29,ADANIENT,32.2768
2026-09-04,15:29,ADANIGREEN,48.9498
2026-09-04,15:29,ADANIPORTS,52.5465
2026-09-04,15:29,ADANIPOWER,102.3437
2026-09-04,15:29,ADFFOODS,14.9505
2026-09-04,15:29,ADOR,89.1871
2026-09-04,15:29,ADVENZYMES,9.8127
2026-09-04,15:29,AEGISLOG,72.3357
2026-09-04,15:29,AEROENTER,67.1499
2026-09-04,15:29,AEROFLEX,230.3116
2026-09-04,15:29,AETHER,82.3137
2026-09-04,15:29,AFFLE,12.9985
2026-09-04,15:29,AFSL,2.8189
2026-09-04,15:29,AGARWALEYE,21.551
2026-09-04,15:29,AGI,10.3234
2026-09-04,15:29,AGIIL,73.74
2026-09-04,15:29,AHLWEST,99.6803
2026-09-04,15:29,AIAENG,34.5374
2026-09-04,15:29,AIIL,77.2104
2026-09-04,15:29,AJANTPHARM,36.5035
2026-09-04,15:29,AJAXENGG,-1.3048
2026-09-04,15:29,AKUMS,50.0735
2026-09-04,15:29,ALEMBICLTD,20.3262
2026-09-04,15:29,ALICON,-0.9698
2026-09-04,15:29,ALIVUS,33.4277
2026-09-04,15:29,ALKEM,10.2625
2026-09-04,15:29,ALKYLAMINE,24.2713
2026-09-04,15:29,AMBER,17.4142
2026-09-04,15:29,AMBIKCO,25.9974
2026-09-04,15:29,ANANDRATHI,161.7318
2026-09-04,15:29,ANANTRAJ,27.4998
2026-09-04,15:29,ANDHRSUGAR,45.8449
2026-09-04,15:29,ANGELONE,53.4681
2026-09-04,15:29,ANTELOPUS,83.4675
2026-09-04,15:29,ANUHPHR,5.654
2026-09-04,15:29,ANURAS,57.1755
2026-09-04,15:29,APARINDS,217.8116
2026-09-04,15:29,APCOTEXIND,112.7909
2026-09-04,15:29,APEX,68.675
2026-09-04,15:29,APLAPOLLO,63.8986
2026-09-04,15:29,APLLTD,-2.3146
2026-09-04,15:29,APOLLO,244.9224
2026-09-04,15:29,APOLLOHOSP,41.6721
2026-09-04,15:29,APOLLOPIPE,84.5098
2026-09-04,15:29,APOLLOTYRE,7.1331
2026-09-04,15:29,ARIES,104.2642
2026-09-04,15:29,ARIHANT,3659.9606
2026-09-04,15:29,ARIHANTCAP,11.1747
2026-09-04,15:29,ARMANFIN,78.7346
2026-09-04,15:29,ARROWGREEN,55.9429
2026-09-04,15:29,ARTEMISMED,44.8972
2026-09-04,15:29,ARVIND,73.3386
2026-09-04,15:29,ARVINDFASN,19.0191
2026-09-04,15:29,ARVSMART,-1.9757
2026-09-04,15:29,ASAHIINDIA,63.4576
2026-09-04,15:29,ASAL,6.0081
2026-09-04,15:29,ASHAPURMIN,77.5701
2026-09-04,15:29,ASHIANA,19.8101
2026-09-04,15:29,ASHOKLEY,71.8877
2026-09-04,15:29,ASIANENE,113.893
2026-09-04,15:29,ASIANHOTNR,5.9917
2026-09-04,15:29,ASIANPAINT,13.2658
2026-09-04,15:29,ASIANTILES,12.2376
2026-09-04,15:29,ASKAUTOLTD,50.8654
2026-09-04,15:29,ASTERDM,81.0067
2026-09-04,15:29,ASTRAL,20.5604
2026-09-04,15:29,ASTRAMICRO,177.4836
2026-09-04,15:29,ATGL,1.3237
2026-09-04,15:29,ATL,-1.21
2026-09-04,15:29,ATUL,15.2468
2026-09-04,15:29,ATULAUTO,11.8687
2026-09-04,15:29,AUBANK,111.7928
2026-09-04,15:29,AUROPHARMA,51.0025
2026-09-04,15:29,AURUM,31.1052
2026-09-04,15:29,AUTOAXLES,9.0152
2026-09-04,15:29,AVADHSUGAR,107.2983
2026-09-04,15:29,AVALON,225.374
