date,time,group,ltp,vwap
2026-09-04,15:29,20MICRONS,222.49,221.03
2026-09-04,15:29,AKCAPIT,1736.9,1725.85
2026-09-04,15:29,ALGOQUANT,64.5,64.37
2026-09-04,15:29,ARIES,500.1,496.61
2026-09-04,15:29,ARIHANT,953.15,949.45
2026-09-04,15:29,ARMANFIN,2069.3,2057.88
2026-09-04,15:29,ARROWGREEN,814.1,803.43
2026-09-04,15:29,BCLIND,36.62,36.6
2026-09-04,15:29,BHAGERIA,304.65,301.85
2026-09-04,15:29,BIRLACABLE,376.55,376.54
2026-09-04,15:29,BLACKROSE,113.02,112.9
2026-09-04,15:29,BLUSPRING,138.96,137.26
2026-09-04,15:29,BODALCHEM,155.62,155.5
2026-09-04,15:29,BOSCH-HCIL,1818.8,1796.07
2026-09-04,15:29,BUILDPRO,1298.2,1297.27
2026-09-04,15:29,CHEVIOT,1159.4,1154.1
2026-09-04,15:29,CLSEL,301.9,301.31
2026-09-04,15:29,COMSYN,301.3,300.01
2026-09-04,15:29,DHARMAJ,270.05,268.67
2026-09-04,15:29,DIAMONDYD,1158.3,1152.98
2026-09-04,15:29,DIVGIITTS,1235.8,1230.57
2026-09-04,15:29,DOLPHIN,674,661.88
2026-09-04,15:29,DRAGARWQ,5422.5,5389.74
2026-09-04,15:29,EMAMIPAP,115.92,114.76
2026-09-04,15:29,ESAFSFB,41.41,41.39
2026-09-04,15:29,EXICOM,177.85,175.89
2026-09-04,15:29,FEDDERSHOL,47.28,47.23
2026-09-04,15:29,FILATEX,77.72,77.34
2026-09-04,15:29,GANDHAR,267.6,265.75
2026-09-04,15:29,GCSL,595.15,588.07
2026-09-04,15:29,GNA,551.05,547.88
2026-09-04,15:29,GNRL,99.27,98.31
2026-09-04,15:29,GOCLCORP,427.45,427.13
2026-09-04,15:29,GPTHEALTH,158.17,156.14
2026-09-04,15:29,GREENPLY,304.7,302.64
2026-09-04,15:29,GRPLTD,2013,2005.15
2026-09-04,15:29,GUFICBIO,444.9,442.63
2026-09-04,15:29,HALDYNGL,147.7,147.37
2026-09-04,15:29,HARSHA,454.35,453.1
2026-09-04,15:29,HAWKINCOOK,8406.5,8337.22
2026-09-04,15:29,HEXAGON,67.23,66.82
2026-09-04,15:29,HINDOILEXP,185,182.75
2026-09-04,15:29,HITECHCORP,337,334.79
2026-09-04,15:29,HUHTAMAKI,255,254.91
2026-09-04,15:29,IGPL,567.4,563.99
2026-09-04,15:29,IMPAL,1114.6,1103.69
2026-09-04,15:29,INDNIPPON,1158.2,1139.63
2026-09-04,15:29,INDORAMA,72.96,72.77
2026-09-04,15:29,INDOSTAR,258.66,258.62
2026-09-04,15:29,IRISDOREME,63.58,62.36
2026-09-04,15:29,JAGSNPHARM,242.06,240.93
2026-09-04,15:29,JINDRILL,663.05,662.85
2026-09-04,15:29,JNKINDIA,445.05,445.01
2026-09-04,15:29,JTLIND,91.67,91.4
2026-09-04,15:29,KABRAEXTRU,579.15,576.3
2026-09-04,15:29,KANORICHEM,155.56,155.4
2026-09-04,15:29,KAPSTON,584.05,583.31
2026-09-04,15:29,KILITCH,180.95,178.62
2026-09-04,15:29,KIRLOSIND,3731.5,3719.34
2026-09-04,15:29,KKCL,514.3,507.59
2026-09-04,15:29,KRONOX,184.69,184.51
2026-09-04,15:29,LANDMARK,510.15,507.96
2026-09-04,15:29,LAXMIINDIA,132.6,132.06
2026-09-04,15:29,MAHASTEEL,1282.5,1231.66
2026-09-04,15:29,MAHLOG,405.35,404.7
2026-09-04,15:29,MANAKCOAT,121.8,121.03
2026-09-04,15:29,MATRIMONY,529.05,528.88
2026-09-04,15:29,MAWANASUG,145.43,144.73
2026-09-04,15:29,MAZDA,270,267.68
2026-09-04,15:29,MBAPL,166.12,163.98
2026-09-04,15:29,MMP,404.15,397.07
2026-09-04,15:29,MMWL,14.53,14.46
2026-09-04,15:29,MODIS,380.85,380.23
2026-09-04,15:29,MOLDTECH,208.96,208.43
2026-09-04,15:29,MOLDTKPAC,706.65,705.17
2026-09-04,15:29,MONARCH,377.9,377.41
2026-09-04,15:29,MUKKA,31.34,30.73
2026-09-04,15:29,NILKAMAL,2116.5,2107.79
2026-09-04,15:29,NITINSPIN,639.05,638.97
2026-09-04,15:29,NRAIL,584,570.86
2026-09-04,15:29,NRL,126.92,109.74
2026-09-04,15:29,OMAXE,136.38,133.8
2026-09-04,15:29,ORIENTBELL,420.1,417.71
2026-09-04,15:29,PANAMAPET,495.45,489.95
2026-09-04,15:29,PNGSREVA,516.35,514.11
2026-09-04,15:29,POLYPLEX,1191,1189.51
2026-09-04,15:29,PPL,262,260.34
2026-09-04,15:29,PREMIERPOL,95.36,94.81
2026-09-04,15:29,PRIMESECU,284.5,284.42
2026-09-04,15:29,PVP,67.94,66.03
2026-09-04,15:29,RAJRATAN,498.35,493.66
2026-09-04,15:29,RAMBHAJO,268.68,261.47
2026-09-04,15:29,RATNAVEER,304.75,300.94
2026-09-04,15:29,RBZJEWEL,200.69,199.8
2026-09-04,15:29,RELTD,161.37,159.53
2026-09-04,15:29,RGL,149.26,147.39
2026-09-04,15:29,RISHABH,738.45,730.29
2026-09-04,15:29,RML,1295.9,1294.58
2026-09-04,15:29,ROSSTECH,1150.5,1147.11
2026-09-04,15:29,RPGLIFE,2721.6001,2690.23
2026-09-04,15:29,RUBYMILLS,428.3,423.27
2026-09-04,15:29,SAKAR,1013.9,1004.71
2026-09-04,15:29,SANGAMIND,578.8,577.95
2026-09-04,15:29,SAYAJIHOTL,319.35,318.36
2026-09-04,15:29,SBC,45.76,45.1
2026-09-04,15:29,SCPL,646.45,643.93
2026-09-04,15:29,SEAMECLTD,1793.6,1790.55
2026-09-04,15:29,SGFIN,675.7,674.84
2026-09-04,15:29,SGIL,606.2,603.19
2026-09-04,15:29,SHANTIGEAR,621.75,621.18
2026-09-04,15:29,SHANTIGOLD,256.34,255.08
2026-09-04,15:29,SHINDL,162.42,161.03
2026-09-04,15:29,SICALLOG,107.33,106.76
2026-09-04,15:29,SIGACHI,34.74,34.48
2026-09-04,15:29,SIMPLEXINF,270.5,269.28
2026-09-04,15:29,SMCGLOBAL,81.25,80.68
2026-09-04,15:29,SMSPHARMA,392.5,389.38
2026-09-04,15:29,SOFTTECH,423.15,422.15
2026-09-04,15:29,SOLARA,639.15,636.56
2026-09-04,15:29,SPAL,1071.1,1050.29
2026-09-04,15:29,SPECIALITY,139.59,137.63
2026-09-04,15:29,SPECTRUM,2368.3999,2349.99
2026-09-04,15:29,SREEL,265.52,264.42
2026-09-04,15:29,STEELCAS,328.05,324.58
2026-09-04,15:29,STEL,607.9,606.92
2026-09-04,15:29,STLNETWORK,28.87,28.67
2026-09-04,15:29,STOVEKRAFT,832.55,832.5
2026-09-04,15:29,STYLEBAAZA,400.25,399.17
2026-09-04,15:29,SUTLEJTEX,40.89,40.54
2026-09-04,15:29,TALBROAUTO,407.75,406.81
2026-09-04,15:29,TATVA,1678.5,1652.26
2026-09-04,15:29,TBZ,480.85,472.33
2026-09-04,15:29,TCPLPACK,4091.8999,4087.7
2026-09-04,15:29,THEJO,2125.3,2116.17
2026-09-04,15:29,TIRUPATIFL,69.05,69.04
2026-09-04,15:29,TTKHLTCARE,1100.2,1098.24
2026-09-04,15:29,UDS,239.03,236.34
2026-09-04,15:29,UEL,241.6,239.8
2026-09-04,15:29,UNITEDPOLY,41.66,41.45
2026-09-04,15:29,UNIVASTU,168.34,167.82
2026-09-04,15:29,UNIVPHOTO,490.4,486.09
2026-09-04,15:29,VALIANTLAB,105.97,105.96
2026-09-04,15:29,VENUSPIPES,1631,1624.63
2026-09-04,15:29,VERANDA,242.63,241.4
2026-09-04,15:29,VISAKAIND,93.37,93.05
2026-09-04,15:29,VOEPL,553.2,549.45
2026-09-04,15:29,VSSL,364.15,360.69
2026-09-04,15:29,WELSPLSOL,59.55,58.74
2026-09-04,15:29,WHEELS,1724.9,1716.28
2026-09-04,15:29,XPROINDIA,1325.1,1312.28
2026-09-04,15:29,XTRANET,234.24,225.98
2026-09-04,15:29,YASHO,4134.1001,4077.62
2026-09-07,15:29,63MOONS,872.7,871.89
2026-09-07,15:29,AEROENTER,154.73,151.53
2026-09-07,15:29,ALLCARGO,12.67,12.61
2026-09-07,15:29,AMANTA,197.91,195.5
2026-09-07,15:29,ANTELOPUS,985.3,982.14
2026-09-07,15:29,ARMANFIN,2033.8,2031.98
2026-09-07,15:29,ARROWGREEN,805.1,803.64
2026-09-07,15:29,ARVSMART,646.8,646.53
2026-09-07,15:29,ASIANENE,511.8,509.19
2026-09-07,15:29,ASIANHOTNR,382.65,382.45
2026-09-07,15:29,AURUM,225.14,224.49
2026-09-07,15:29,AVADHSUGAR,839.7,838.09
2026-09-07,15:29,AYMSYNTEX,315.2,315
2026-09-07,15:29,BAJEL,187.45,184.93
2026-09-07,15:29,BHAGYANGR,373.4,370.87
2026-09-07,15:29,BHARATSE,227.65,225.5
2026-09-07,15:29,BIL,931.15,931.1
2026-09-07,15:29,BLUSPRING,137.19,137.08
2026-09-07,15:29,BODALCHEM,171.18,169.34
2026-09-07,15:29,BORANA,325.25,325.06
2026-09-07,15:29,CARYSIL,1152.6,1128.64
2026-09-07,15:29,CHEMBONDCH,267.15,263.32
2026-09-07,15:29,CHEMCON,199.56,199.3
2026-09-07,15:29,CHEVIOT,1217.1,1215.84
2026-09-07,15:29,COSMOFIRST,926.3,925.43
2026-09-07,15:29,CREST,370.65,367.31
2026-09-07,15:29,DBOL,127.52,127.35
2026-09-07,15:29,DCI,351.25,349.45
2026-09-07,15:29,DECNGOLD,215.77,214.95
2026-09-07,15:29,DEEDEV,677.05,675.47
2026-09-07,15:29,DICIND,625.35,624.71
2026-09-07,15:29,EIMCOELECO,2268,2259.51
2026-09-07,15:29,EMAMIPAP,121.34,120.63
2026-09-07,15:29,ESAFSFB,41.76,41.54
2026-09-07,15:29,GANDHITUBE,898.55,898.44
2026-09-07,15:29,GANESHBE,129.39,128.51
2026-09-07,15:29,GARUDA,178.63,178.61
2026-09-07,15:29,GEECEE,370.85,370.82
2026-09-07,15:29,GKSL,176.34,175.85
2026-09-07,15:29,GNRL,113.96,112.01
2026-09-07,15:29,GOCLCORP,436.95,434.8
2026-09-07,15:29,GPTHEALTH,161.37,160.65
2026-09-07,15:29,GRPLTD,2004.1,1994.06
2026-09-07,15:29,HESTERBIO,2362.7,2362.25
2026-09-07,15:29,INDIQUBE,202.13,199.37
2026-09-07,15:29,INDOTECH,3666.6001,3623.95
2026-09-07,15:29,INDSWFTLAB,368.7,366.7
2026-09-07,15:29,IRMENERGY,284.5,284.28
2026-09-07,15:29,JAMNAAUTO,126.61,125.22
2026-09-07,15:29,JASH,511.15,503.56
2026-09-07,15:29,JTLIND,89.51,89.25
2026-09-07,15:29,KABRAEXTRU,634.5,629.89
2026-09-07,15:29,KAMDHENU,39.88,39.69
2026-09-07,15:29,KILITCH,187.82,186.09
2026-09-07,15:29,KOLTEPATIL,443.6,442.6
2026-09-07,15:29,KOPRAN,245.87,243.3
2026-09-07,15:29,KPL,3411.2,3381.09
2026-09-07,15:29,KRYSTAL,661.5,660.96
2026-09-07,15:29,LASERPOWER,310.7,306.43
2026-09-07,15:29,LINCOLN,632.35,630.75
2026-09-07,15:29,MAHASTEEL,1294.4,1271.22
2026-09-07,15:29,MAZDA,274.2,270.98
2026-09-07,15:29,MMP,444.95,439.66
2026-09-07,15:29,MODIS,383.05,382.2
2026-09-07,15:29,MODISONLTD,475.6,472.16
2026-09-07,15:29,MOLDTECH,219.18,216.24
2026-09-07,15:29,MONARCH,383.25,382.79
2026-09-07,15:29,MUNJALAU,116.04,115.62
2026-09-07,15:29,NELCO,933.2,929.29
2026-09-07,15:29,NITTAGELA,1677.8,1670.09
2026-09-07,15:29,NPST,1740.4,1724.29
2026-09-07,15:29,NRBBEARING,483,475.3
2026-09-07,15:29,NRL,132.78,131.79
2026-09-07,15:29,OAL,537.35,529.97
2026-09-07,15:29,ONWARDTEC,283.85,282.68
2026-09-07,15:29,ORBTEXP,239,237.47
2026-09-07,15:29,ORIENTCER,44.6,44.4
2026-09-07,15:29,POLYPLEX,1180,1176.23
2026-09-07,15:29,PPL,270.05,266.31
2026-09-07,15:29,PRABHA,243.39,239.49
2026-09-07,15:29,RGL,153.1,153.03
2026-09-07,15:29,RICOAUTO,135.47,133.61
2026-09-07,15:29,RISHABH,809.95,793.19
