date,time,group,changeinpercentage
2026-09-04,15:29,20MICRONS,2.144
2026-09-04,15:29,3IINFOLTD,2.6618
2026-09-04,15:29,63MOONS,2.9662
2026-09-04,15:29,AADHARHFC,1.0237
2026-09-04,15:29,AAREYDRUGS,1.4295
2026-09-04,15:29,AARTIDRUGS,1.362
2026-09-04,15:29,AARTISURF,0.7809
2026-09-04,15:29,ABAN,1.4208
2026-09-04,15:29,ABANSENT,1.4936
2026-09-04,15:29,ABCAPITAL,0.7214
2026-09-04,15:29,ABFRL,5.0784
2026-09-04,15:29,ABINFRA,1.5206
2026-09-04,15:29,ABLBL,3.0902
2026-09-04,15:29,ABMKNO,1.0106
2026-09-04,15:29,ABSLAMC,1.6361
2026-09-04,15:29,ACC,0.9277
2026-09-04,15:29,ACCURACY,2.1327
2026-09-04,15:29,ACEINTEG,4.7591
2026-09-04,15:29,ACI,1.8174
2026-09-04,15:29,ACMESOLAR,4.006
2026-09-04,15:29,ACSTECH,2.249
2026-09-04,15:29,ADANIENSOL,1.7248
2026-09-04,15:29,ADANIENT,1.2754
2026-09-04,15:29,ADANIGREEN,1.3947
2026-09-04,15:29,ADDIND,3.4555
2026-09-04,15:29,AEPL,2.3991
2026-09-04,15:29,AERONEU,2.0003
2026-09-04,15:29,AEROPLANE,3.3073
2026-09-04,15:29,AFFLE,6.4047
2026-09-04,15:29,AGARIND,2.3382
2026-09-04,15:29,AGIIL,1.9404
2026-09-04,15:29,AHLWEST,3.6715
2026-09-04,15:29,AIRAN,4.3243
2026-09-04,15:29,AJMERA,2.0009
2026-09-04,15:29,AKASH,2.7287
2026-09-04,15:29,AKCAPIT,2.3271
2026-09-04,15:29,AKG,2.6767
2026-09-04,15:29,AKI,9.8934
2026-09-04,15:29,AKSHARCHEM,4.9175
2026-09-04,15:29,AKSHOPTFBR,4.9435
2026-09-04,15:29,ALANKIT,1.4963
2026-09-04,15:29,ALEMBICLTD,1.735
2026-09-04,15:29,ALKYLAMINE,0.8836
2026-09-04,15:29,ALLTIME,3.1535
