date,time,group,column2
2026-09-04,15:29,aerospace & defence,2.9412
2026-09-04,15:29,auto,5.102
2026-09-04,15:29,bank,0
2026-09-04,15:29,building materials,2.4691
2026-09-04,15:29,chemicals,8.9041
2026-09-04,15:29,co-working,0
2026-09-04,15:29,consumer discretionary,6.6667
2026-09-04,15:29,energy,16.2162
2026-09-04,15:29,financials,5.3191
2026-09-04,15:29,fmcg,6.9767
2026-09-04,15:29,healthcare,13.245
2026-09-04,15:29,i.t,4.3478
2026-09-04,15:29,industrials,13.8095
2026-09-04,15:29,media,0
2026-09-04,15:29,metals & mining,11.215
2026-09-04,15:29,miscellaneous,3.0303
2026-09-04,15:29,plastic products,9.0909
2026-09-04,15:29,power & utilities,4.1667
2026-09-04,15:29,realty,6.338
2026-09-04,15:29,services,2.5316
2026-09-04,15:29,telecom,0
2026-09-04,15:29,telecom-service,0
2026-09-04,15:29,textiles,6.0241
2026-09-04,15:29,transportation,2.3256
2026-09-07,15:29,aerospace & defence,5.8824
2026-09-07,15:29,auto,4.0816
2026-09-07,15:29,bank,2.7027
2026-09-07,15:29,building materials,2.4691
2026-09-07,15:29,chemicals,7.5342
2026-09-07,15:29,co-working,0
2026-09-07,15:29,consumer discretionary,7.4074
2026-09-07,15:29,energy,16.2162
2026-09-07,15:29,financials,2.6596
2026-09-07,15:29,fmcg,3.1008
2026-09-07,15:29,healthcare,14.6667
2026-09-07,15:29,i.t,4.3478
2026-09-07,15:29,industrials,9.5238
2026-09-07,15:29,media,0
2026-09-07,15:29,metals & mining,11.215
2026-09-07,15:29,miscellaneous,1.5385
2026-09-07,15:29,plastic products,9.0909
2026-09-07,15:29,power & utilities,0
2026-09-07,15:29,realty,6.338
2026-09-07,15:29,services,1.2658
2026-09-07,15:29,telecom,0
2026-09-07,15:29,telecom-service,0
2026-09-07,15:29,textiles,10.9756
2026-09-07,15:29,transportation,2.3256
2026-09-08,15:29,aerospace & defence,8.8235
2026-09-08,15:29,auto,4.0816
2026-09-08,15:29,bank,2.7027
2026-09-08,15:29,building materials,2.4691
2026-09-08,15:29,chemicals,8.9041
2026-09-08,15:29,co-working,0
2026-09-08,15:29,consumer discretionary,7.4074
2026-09-08,15:29,energy,21.6216
2026-09-08,15:29,financials,1.0695
2026-09-08,15:29,fmcg,4.6512
2026-09-08,15:29,healthcare,14.6667
2026-09-08,15:29,i.t,3.6232
2026-09-08,15:29,industrials,10
2026-09-08,15:29,media,0
2026-09-08,15:29,metals & mining,9.3458
2026-09-08,15:29,miscellaneous,0
2026-09-08,15:29,plastic products,4.5455
2026-09-08,15:29,power & utilities,0
2026-09-08,15:29,realty,6.383
2026-09-08,15:29,services,1.2658
2026-09-08,15:29,telecom,0
2026-09-08,15:29,telecom-service,16.6667
2026-09-08,15:29,textiles,12.1951
2026-09-08,15:29,transportation,2.3256
2026-09-09,15:29,aerospace & defence,8.8235
2026-09-09,15:29,auto,4.0816
2026-09-09,15:29,bank,2.7027
2026-09-09,15:29,building materials,0
2026-09-09,15:29,chemicals,10.274
2026-09-09,15:29,co-working,0
2026-09-09,15:29,consumer discretionary,8.1481
2026-09-09,15:29,energy,24.3243
2026-09-09,15:29,financials,1.6043
2026-09-09,15:29,fmcg,4.6875
2026-09-09,15:29,healthcare,16.6667
2026-09-09,15:29,i.t,4.3478
2026-09-09,15:29,industrials,10.4762
2026-09-09,15:29,media,0
2026-09-09,15:29,metals & mining,9.3458
2026-09-09,15:29,miscellaneous,1.5625
2026-09-09,15:29,plastic products,9.0909
2026-09-09,15:29,power & utilities,0
2026-09-09,15:29,realty,6.383
2026-09-09,15:29,services,1.25
2026-09-09,15:29,telecom,0
2026-09-09,15:29,telecom-service,16.6667
2026-09-09,15:29,textiles,10.8434
2026-09-09,15:29,transportation,2.439
2026-09-10,15:29,aerospace & defence,11.7647
2026-09-10,15:29,auto,5.102
2026-09-10,15:29,bank,2.7027
2026-09-10,15:29,building materials,2.4691
2026-09-10,15:29,chemicals,8.9041
2026-09-10,15:29,co-working,0
2026-09-10,15:29,consumer discretionary,8.1481
2026-09-10,15:29,energy,24.3243
2026-09-10,15:29,financials,2.6738
2026-09-10,15:29,fmcg,3.9063
2026-09-10,15:29,healthcare,15.3333
2026-09-10,15:29,i.t,2.8986
2026-09-10,15:29,industrials,10
2026-09-10,15:29,media,0
2026-09-10,15:29,metals & mining,9.3458
2026-09-10,15:29,miscellaneous,4.7619
2026-09-10,15:29,plastic products,4.5455
2026-09-10,15:29,power & utilities,0
2026-09-10,15:29,realty,7.0922
2026-09-10,15:29,services,2.5
2026-09-10,15:29,telecom,0
2026-09-10,15:29,telecom-service,16.6667
2026-09-10,15:29,textiles,10.7143
2026-09-10,15:29,transportation,2.439
2026-09-11,15:29,aerospace & defence,11.7647
2026-09-11,15:29,auto,6.1224
2026-09-11,15:29,bank,2.7027
2026-09-11,15:29,building materials,2.4691
2026-09-11,15:29,chemicals,8.9655
2026-09-11,15:29,co-working,0
2026-09-11,15:29,consumer discretionary,8.6331
2026-09-11,15:29,energy,16.2162
2026-09-11,15:29,financials,2.6596
2026-09-11,15:29,fmcg,3.1008
2026-09-11,15:29,healthcare,15.894
2026-09-11,15:29,i.t,3.5971
2026-09-11,15:29,indices,0
2026-09-11,15:29,industrials,11.3208
2026-09-11,15:29,media,0
2026-09-11,15:29,metals & mining,7.5472
2026-09-11,15:29,miscellaneous,3.0303
2026-09-11,15:29,plastic products,4.5455
2026-09-11,15:29,power & utilities,0
2026-09-11,15:29,realty,6.338
2026-09-11,15:29,services,4.878
2026-09-11,15:29,telecom,0
2026-09-11,15:29,telecom-service,16.6667
2026-09-11,15:29,textiles,10.8434
2026-09-11,15:29,transportation,2.3256
2026-09-15,15:29,aerospace & defence,5.8824
2026-09-15,15:29,auto,1.0204
2026-09-15,15:29,bank,0
2026-09-15,15:29,building materials,1.2346
2026-09-15,15:29,chemicals,4.8276
2026-09-15,15:29,co-working,0
2026-09-15,15:29,consumer discretionary,5.7554
2026-09-15,15:29,energy,2.7027
2026-09-15,15:29,financials,2.6596
2026-09-15,15:29,fmcg,3.0769
2026-09-15,15:29,healthcare,7.2368
2026-09-15,15:29,i.t,3.5971
2026-09-15,15:29,industrials,5.6604
2026-09-15,15:29,media,0
2026-09-15,15:29,metals & mining,2.8302
2026-09-15,15:29,miscellaneous,1.4925
2026-09-15,15:29,plastic products,4.5455
2026-09-15,15:29,power & utilities,0
2026-09-15,15:29,realty,4.1958
2026-09-15,15:29,services,2.439
2026-09-15,15:29,telecom,0
2026-09-15,15:29,telecom-service,16.6667
2026-09-15,15:29,textiles,3.6145
2026-09-15,15:29,transportation,2.381
2026-09-16,15:29,aerospace & defence,11.7647
2026-09-16,15:29,auto,2.0408
2026-09-16,15:29,bank,0
2026-09-16,15:29,building materials,2.4691
2026-09-16,15:29,chemicals,6.8493
2026-09-16,15:29,co-working,0
2026-09-16,15:29,consumer discretionary,5.7554
2026-09-16,15:29,energy,2.7027
2026-09-16,15:29,financials,2.1277
2026-09-16,15:29,fmcg,2.3077
2026-09-16,15:29,healthcare,6.5789
2026-09-16,15:29,i.t,2.8571
2026-09-16,15:29,industrials,6.1321
2026-09-16,15:29,media,0
2026-09-16,15:29,metals & mining,2.8302
2026-09-16,15:29,miscellaneous,1.4925
2026-09-16,15:29,plastic products,9.0909
2026-09-16,15:29,power & utilities,0
2026-09-16,15:29,realty,4.2553
2026-09-16,15:29,services,3.6585
2026-09-16,15:29,telecom,0
2026-09-16,15:29,telecom-service,16.6667
2026-09-16,15:29,textiles,2.4096
2026-09-16,15:29,transportation,2.381
2026-09-17,15:29,aerospace & defence,14.7059
2026-09-17,15:29,auto,2.0408
2026-09-17,15:29,bank,0
2026-09-17,15:29,building materials,1.2346
2026-09-17,15:29,chemicals,8.2759
2026-09-17,15:29,co-working,0
2026-09-17,15:29,consumer discretionary,6.4748
2026-09-17,15:29,energy,2.7027
2026-09-17,15:29,financials,3.1915
2026-09-17,15:29,fmcg,1.5385
2026-09-17,15:29,healthcare,8.5526
2026-09-17,15:29,i.t,4.2857
2026-09-17,15:29,industrials,6.1033
2026-09-17,15:29,media,0
2026-09-17,15:29,metals & mining,2.8302
2026-09-17,15:29,miscellaneous,1.4925
2026-09-17,15:29,plastic products,9.0909
2026-09-17,15:29,power & utilities,0
2026-09-17,15:29,realty,4.2254
2026-09-17,15:29,services,2.439
2026-09-17,15:29,telecom,0
2026-09-17,15:29,telecom-service,16.6667
2026-09-17,15:29,textiles,4.8193
2026-09-17,15:29,transportation,2.381
2026-09-18,15:29,aerospace & defence,14.7059
2026-09-18,15:29,auto,3.0612
2026-09-18,15:29,bank,0
2026-09-18,15:29,building materials,3.7037
2026-09-18,15:29,chemicals,8.9041
2026-09-18,15:29,co-working,0
2026-09-18,15:29,consumer discretionary,7.1942
2026-09-18,15:29,energy,5.4054
2026-09-18,15:29,financials,3.7234
2026-09-18,15:29,fmcg,1.5385
2026-09-18,15:29,healthcare,11.1842
2026-09-18,15:29,i.t,5.7143
2026-09-18,15:29,industrials,6.5728
2026-09-18,15:29,media,0
2026-09-18,15:29,metals & mining,2.8302
2026-09-18,15:29,miscellaneous,2.9851
2026-09-18,15:29,plastic products,9.0909
2026-09-18,15:29,power & utilities,0
2026-09-18,15:29,realty,4.2254
2026-09-18,15:29,services,4.878
2026-09-18,15:29,telecom,0
2026-09-18,15:29,telecom-service,16.6667
2026-09-18,15:29,textiles,4.878
2026-09-18,15:29,transportation,2.381
