date,time,group,current price,market cap,category,sector,industry,% change,volume
2026-09-04,15:29,AKI,7.22,74.5147,smallcap,consumer discretionary,leather / leather products,9.8934,258805
2026-09-04,15:29,BAIDFIN,10.12,164.0373,smallcap,financials,finance & investments,0.198,43775
2026-09-04,15:29,COALINDIA,415.35,255968.9211,largecap,metals & mining,mining / minerals / metals,-1.1189,6126850
2026-09-04,15:29,CROWN,112.84,130.7816,smallcap,miscellaneous,miscellaneous,0.9302,37657
2026-09-04,15:29,DRCSYSTEMS,13.64,196.5269,smallcap,i.t,computers - software - medium / small,1.6393,37863
2026-09-04,15:29,ECOSMOBLTY,113.54,681.24,smallcap,miscellaneous,miscellaneous,-0.3423,79330
2026-09-04,15:29,FLFL,1.25,25.2219,smallcap,consumer discretionary,trading,2.459,107261
2026-09-04,15:29,GAYAHWS,1.93,46.2528,smallcap,realty,construction,-1.5306,206145
2026-09-04,15:29,GENESYS,230.88,964.8562,smallcap,i.t,computers - software - medium / small,3.7057,475906
2026-09-04,15:29,GMBREW,919.85,2101.5742,smallcap,fmcg,breweries & distilleries,1.0214,40347
2026-09-04,15:29,GTPL,58.67,659.8206,smallcap,media,entertainment / electronic media software,1.2774,87796
2026-09-04,15:29,GUJAPOLLO,355.95,461.6672,smallcap,industrials,engineering,2.2992,12193
2026-09-04,15:29,HGM,52.63,66.2873,smallcap,i.t,computers - software - medium / small,2.1149,31154
2026-09-04,15:29,HUBTOWN,189.26,2689.397,smallcap,realty,construction,-1.5297,598031
2026-09-04,15:29,IGL,158.04,22125.6253,largecap,energy,miscellaneous,5.769,8174532
2026-09-04,15:29,INTERARCH,1707,2862.9553,smallcap,metals & mining,steel - medium / small,0.3409,33231
2026-09-04,15:29,IOB,33.55,64605.8588,largecap,bank,banks - public sector,0.963,2673908
2026-09-04,15:29,ISGEC,787.35,5789.346,midcap,realty,engineering - turnkey services,2.1074,30774
2026-09-04,15:29,KUANTUM,74.18,647.3216,smallcap,building materials,paper,-1.3039,61468
2026-09-04,15:29,LAKPRE,5.01,5.4818,smallcap,industrials,fasteners,4.8117,3002
2026-09-04,15:29,MBLINFRA,24.3,378.7866,smallcap,realty,construction,-0.5728,25935
2026-09-04,15:29,ONGC,234.65,295196.2516,largecap,energy,oil drilling / allied services,-0.572,5338085
2026-09-04,15:29,ORIENTALTL,5.31,39.0324,smallcap,services,trading,5.7769,322042
2026-09-04,15:29,PARSVNATH,1.57,68.3234,smallcap,realty,construction,1.9481,127768
2026-09-04,15:29,RAJOOENG,51.59,921.7858,smallcap,industrials,engineering,4.9858,412844
2026-09-04,15:29,TATAPOWER,368,117588.4953,largecap,power & utilities,power generation and supply,0.6289,3826383
2026-09-04,15:29,TECILCHEM,9.72,18.4327,smallcap,chemicals,chemicals,-2.6052,21289
2026-09-04,15:29,UPL,582.15,49143.3168,largecap,chemicals,pesticides / agrochemicals - indian,-0.5467,1730115
2026-09-07,15:29,ALLTIME,214.65,1349.9843,smallcap,plastic products,plastics products,4.1586,264900
2026-09-07,15:29,ANMOL,10.09,57.3695,smallcap,services,trading,0.0992,167944
2026-09-07,15:29,BCONCEPTS,173.98,208.8592,smallcap,consumer discretionary,trading,3.9742,8363
2026-09-07,15:29,CANFINHOME,805.45,10750.9017,midcap,financials,finance - housing,-0.2415,378816
2026-09-07,15:29,CEREBRAINT,2.79,32.5992,smallcap,i.t,computers - hardware,3.7175,212461
2026-09-07,15:29,CREATIVEYE,6.18,12.4161,smallcap,media,entertainment / electronic media software,-0.1616,5934
2026-09-07,15:29,CURAA,77.96,71.7354,smallcap,i.t,computers - software - medium / small,7.5904,2646
2026-09-07,15:29,DANGEE,2.89,45.2687,smallcap,fmcg,food - processing - indian,-1.7007,83815
2026-09-07,15:29,DBEIL,7.5,299.5149,smallcap,realty,construction,16.6407,3371577
2026-09-07,15:29,ERIS,1324.3,18315.9189,midcap,healthcare,pharmaceuticals - indian - formulations,0.1967,27451
2026-09-07,15:29,FDC,342.15,5581.1297,midcap,healthcare,pharmaceuticals - indian - bulk drugs & formln,-0.1896,89168
2026-09-07,15:29,FORCEMOT,17829,23058.4585,largecap,auto,automobiles - lcvs / hcvs,1.88,51095
2026-09-07,15:29,GATEWAY,53.96,2732.5521,smallcap,transportation,miscellaneous,-1.3348,397333
2026-09-07,15:29,GRMOVER,85.8,1813.7091,smallcap,fmcg,food - processing - indian,-1.9765,1118026
2026-09-07,15:29,HPL,301.55,1955.6993,smallcap,industrials,electric equipment,-0.8548,76591
2026-09-07,15:29,HYBRIDFIN,17.19,49.0703,smallcap,financials,finance & investments,3.1194,10009
2026-09-07,15:29,INCREDIBLE,32.34,152.1692,smallcap,metals & mining,steel - medium / small,-0.6146,3017
2026-09-07,15:29,INOXWIND,75.6,12858.0894,midcap,industrials,electric equipment,1.6129,15134302
2026-09-07,15:29,JAGRAN,61.81,1327.2558,smallcap,media,entertainment / electronic media software,1.3611,252138
2026-09-07,15:29,JAICORPLTD,98.56,1746.6257,smallcap,plastic products,plastics products,-0.9646,245829
2026-09-07,15:29,LINC,96.8,565.5635,smallcap,miscellaneous,printing & stationery,1.8197,12384
2026-09-07,15:29,MITTAL,0.92,35.52,smallcap,textiles,trading,15,11585530
2026-09-07,15:29,NBCC,86,23382,largecap,miscellaneous,miscellaneous,-0.6928,1862601
2026-09-07,15:29,NDTV,72.87,837.9492,smallcap,media,entertainment / electronic media software,-1.885,81638
2026-09-07,15:29,NFL,70.32,3459.0683,smallcap,chemicals,fertilizers,-0.2695,287324
2026-09-07,15:29,PRSMJOHNSN,112.21,5593.2983,midcap,building materials,cement - north india,0.9809,279614
2026-09-07,15:29,QUICKHEAL,153.16,764.7193,smallcap,i.t,computers - software - medium / small,8.6704,833659
2026-09-07,15:29,RADAAN,3,16.086,smallcap,media,entertainment / electronic media software,1.0101,21177
2026-09-07,15:29,RCOM,0.85,224.0082,smallcap,telecom-service,telecommunications - service provider,4.9383,5380404
2026-09-07,15:29,RHETAN,26.68,2025.6563,smallcap,metals & mining,steel - medium / small,4.9567,8256003
2026-09-07,15:29,SALZERELEC,551.1,972.0201,smallcap,industrials,electric equipment,0.2547,28522
2026-09-07,15:29,SHREYANIND,134.2,178.2399,smallcap,building materials,paper,4.0875,24013
2026-09-07,15:29,SUKHJITS,160.55,493.2178,smallcap,fmcg,miscellaneous,1.704,27049
2026-09-07,15:29,TVSHLTD,13748,27058.4159,largecap,financials,finance & investments,2.7965,26789
2026-09-07,15:29,UNITECH,4.22,1067.4508,smallcap,realty,construction,3.4314,17838014
2026-09-07,15:29,VIKRAN,60.6,1567.3253,smallcap,realty,transmisson line towers / equipment,-0.2797,1147055
2026-09-07,15:29,VIVIDHA,0.51,15.2204,smallcap,services,trading,-1.9231,127511
2026-09-08,15:29,AKG,9.83,29.8064,smallcap,services,trading,4.7974,13409
2026-09-08,15:29,ALLTIME,211.46,1406.1245,smallcap,plastic products,plastics products,-1.4861,38728
2026-09-08,15:29,ANMOL,11.38,57.4264,smallcap,services,trading,12.7849,221539
2026-09-08,15:29,ASTEC,662.8,1230.7916,smallcap,chemicals,pesticides / agrochemicals - indian,19.9964,1270916
2026-09-08,15:29,AVANTIFEED,837.15,10716.4,midcap,fmcg,food - processing - indian,6.4332,1080144
2026-09-08,15:29,BCONCEPTS,166.33,217.1597,smallcap,consumer discretionary,trading,-4.3971,10620
2026-09-08,15:29,CEREBRAINT,2.9,33.811,smallcap,i.t,computers - hardware,3.9427,92104
2026-09-08,15:29,CREATIVEYE,6.09,12.396,smallcap,media,entertainment / electronic media software,-1.4563,7155
2026-09-08,15:29,CURAA,78,77.1804,smallcap,i.t,computers - software - medium / small,0.0513,671
2026-09-08,15:29,DANGEE,2.88,44.4988,smallcap,fmcg,food - processing - indian,-0.346,27055
2026-09-08,15:29,DBEIL,7.26,349.3565,smallcap,realty,construction,-3.2,719710
2026-09-08,15:29,EIHOTEL,295.75,18385.707,midcap,services,hotels,0.5952,1038216
2026-09-08,15:29,ERIS,1324.7,18351.9493,midcap,healthcare,pharmaceuticals - indian - formulations,0.0302,28743
2026-09-08,15:29,FDC,345.95,5570.547,midcap,healthcare,pharmaceuticals - indian - bulk drugs & formln,1.1106,62726
2026-09-08,15:29,FORCEMOT,17625,23491.9575,largecap,auto,automobiles - lcvs / hcvs,-1.1442,47183
2026-09-08,15:29,GATEWAY,53.94,2696.0781,smallcap,transportation,miscellaneous,-0.0371,1065075
2026-09-08,15:29,GRMOVER,88.17,1777.8618,smallcap,fmcg,food - processing - indian,2.7622,1436766
2026-09-08,15:29,HPL,303,1938.9812,smallcap,industrials,electric equipment,0.4809,66069
2026-09-08,15:29,HYBRIDFIN,17.2,50.601,smallcap,financials,finance & investments,0.0582,4009
2026-09-08,15:29,INOXWIND,75.71,13065.4779,midcap,industrials,electric equipment,0.1455,9911582
2026-09-08,15:29,JAGRAN,62.54,1345.3211,smallcap,media,entertainment / electronic media software,1.181,284044
2026-09-08,15:29,LINC,98.31,575.8551,smallcap,miscellaneous,printing & stationery,1.5599,34538
2026-09-08,15:29,MITTAL,0.86,40.848,smallcap,textiles,trading,-6.5217,5554006
