date,time,group,% change
2026-09-04,15:29,BANKNIFTY,-0.3011
2026-09-04,15:29,CNXENERGY,-4.2089
2026-09-04,15:29,CNXINFRA,-2.0698
2026-09-04,15:29,CNXIT,16.7158
2026-09-04,15:29,CNXPHARMA,4.5474
2026-09-04,15:29,CNXREALTY,9.4449
2026-09-04,15:29,CNXSMALLCAP,6.5331
2026-09-04,15:29,INDIAVIX,-21.4706
2026-09-04,15:29,NIFTY,0.1339
2026-09-04,15:29,NIFTY100,0.4317
2026-09-04,15:29,NIFTY200,0.7614
2026-09-04,15:29,NIFTY500,1.1241
2026-09-04,15:29,NIFTYAUTO,4.6492
2026-09-04,15:29,NIFTYCHEMICALS,1.642
2026-09-04,15:29,NIFTYCOMMODITIES,0.1113
2026-09-04,15:29,NIFTYCONSUMPTION,0.7191
2026-09-04,15:29,NIFTYFINSERVICE,-1.8963
2026-09-04,15:29,NIFTYFMCG,-5.9463
2026-09-04,15:29,NIFTYHEALTHCARE,1.6624
2026-09-04,15:29,NIFTYHOUSING,1.7e+308
2026-09-04,15:29,NIFTYINDDEFENCE,1.9901
2026-09-04,15:29,NIFTYLARGEMID250,1.0837
2026-09-04,15:29,NIFTYMEDIA,5.8881
2026-09-04,15:29,NIFTYMETAL,6.3766
2026-09-04,15:29,NIFTYMICROCAP250,5.2587
2026-09-04,15:29,NIFTYMIDCAP150,1.7305
2026-09-04,15:29,NIFTYMIDCAP50,3.0284
2026-09-04,15:29,NIFTYMIDSELECT,1.9915
2026-09-04,15:29,NIFTYMIDSMALLCAP400,2.6055
2026-09-04,15:29,NIFTYOILANDGAS,1.427
2026-09-04,15:29,NIFTYPSUBANK,0.2614
2026-09-04,15:29,NIFTYPVTBANK,-0.3747
2026-09-04,15:29,NIFTYSMALLCAP250,4.2951
2026-09-04,15:29,NIFTYSMALLCAP50,7.3608
2026-09-04,15:29,NIFTYTOTALMKT,1.3068
2026-09-07,15:29,BANKNIFTY,-0.79
2026-09-07,15:29,CNXENERGY,-4.4467
2026-09-07,15:29,CNXINFRA,-2.1667
2026-09-07,15:29,CNXIT,14.0543
2026-09-07,15:29,CNXPHARMA,5.3269
2026-09-07,15:29,CNXREALTY,7.5885
2026-09-07,15:29,CNXSMALLCAP,6.5583
2026-09-07,15:29,INDIAVIX,-17.9412
2026-09-07,15:29,NIFTY,-0.3629
2026-09-07,15:29,NIFTY100,-0.0522
2026-09-07,15:29,NIFTY200,0.2796
2026-09-07,15:29,NIFTY500,0.6982
2026-09-07,15:29,NIFTYAUTO,4.6033
2026-09-07,15:29,NIFTYCHEMICALS,1.1697
2026-09-07,15:29,NIFTYCOMMODITIES,-0.9277
2026-09-07,15:29,NIFTYCONSUMPTION,0.3982
2026-09-07,15:29,NIFTYFINSERVICE,-2.3309
2026-09-07,15:29,NIFTYFMCG,-6.5624
2026-09-07,15:29,NIFTYHEALTHCARE,2.3578
2026-09-07,15:29,NIFTYHOUSING,1.7e+308
2026-09-07,15:29,NIFTYINDDEFENCE,2.4702
2026-09-07,15:29,NIFTYLARGEMID250,0.6088
2026-09-07,15:29,NIFTYMEDIA,2.8578
2026-09-07,15:29,NIFTYMETAL,5.0622
2026-09-07,15:29,NIFTYMICROCAP250,5.6978
2026-09-07,15:29,NIFTYMIDCAP150,1.2646
2026-09-07,15:29,NIFTYMIDCAP50,2.5956
2026-09-07,15:29,NIFTYMIDSELECT,1.5551
2026-09-07,15:29,NIFTYMIDSMALLCAP400,2.3033
2026-09-07,15:29,NIFTYOILANDGAS,0.8032
2026-09-07,15:29,NIFTYPSUBANK,-0.8007
2026-09-07,15:29,NIFTYPVTBANK,-0.6567
2026-09-07,15:29,NIFTYSMALLCAP250,4.3106
2026-09-07,15:29,NIFTYSMALLCAP50,7.4374
2026-09-07,15:29,NIFTYTOTALMKT,0.9192
2026-09-08,15:29,BANKNIFTY,-1.33
2026-09-08,15:29,CNXENERGY,-4.1444
2026-09-08,15:29,CNXINFRA,-2.6421
2026-09-08,15:29,CNXIT,13.6296
2026-09-08,15:29,CNXPHARMA,6.1375
2026-09-08,15:29,CNXREALTY,7.5342
2026-09-08,15:29,CNXSMALLCAP,6.7362
2026-09-08,15:29,INDIAVIX,-17.4265
2026-09-08,15:29,NIFTY,-0.9664
2026-09-08,15:29,NIFTY100,-0.4483
2026-09-08,15:29,NIFTY200,0.0051
2026-09-08,15:29,NIFTY500,0.4803
2026-09-08,15:29,NIFTYAUTO,4.8926
2026-09-08,15:29,NIFTYCHEMICALS,1.8625
2026-09-08,15:29,NIFTYCOMMODITIES,-1.1922
2026-09-08,15:29,NIFTYCONSUMPTION,0.4729
2026-09-08,15:29,NIFTYFINSERVICE,-3.2349
2026-09-08,15:29,NIFTYFMCG,-6.2392
2026-09-08,15:29,NIFTYHEALTHCARE,3.0041
2026-09-08,15:29,NIFTYHOUSING,1.7e+308
2026-09-08,15:29,NIFTYINDDEFENCE,5.035
2026-09-08,15:29,NIFTYLARGEMID250,0.4734
2026-09-08,15:29,NIFTYMEDIA,4.2072
2026-09-08,15:29,NIFTYMETAL,5.0866
2026-09-08,15:29,NIFTYMICROCAP250,6.2498
2026-09-08,15:29,NIFTYMIDCAP150,1.3862
2026-09-08,15:29,NIFTYMIDCAP50,2.8309
2026-09-08,15:29,NIFTYMIDSELECT,1.7066
2026-09-08,15:29,NIFTYMIDSMALLCAP400,2.4662
2026-09-08,15:29,NIFTYOILANDGAS,0.1315
2026-09-08,15:29,NIFTYPSUBANK,-0.9455
2026-09-08,15:29,NIFTYPVTBANK,-1.6272
2026-09-08,15:29,NIFTYSMALLCAP250,4.5535
2026-09-08,15:29,NIFTYSMALLCAP50,7.7744
2026-09-08,15:29,NIFTYTOTALMKT,0.7351
2026-09-09,15:29,BANKNIFTY,-2.1677
2026-09-09,15:29,CNXENERGY,-3.5401
2026-09-09,15:29,CNXINFRA,-2.9035
2026-09-09,15:29,CNXIT,9.9431
2026-09-09,15:29,CNXPHARMA,5.3912
2026-09-09,15:29,CNXREALTY,5.1413
2026-09-09,15:29,CNXSMALLCAP,6.2227
2026-09-09,15:29,INDIAVIX,-12.3529
2026-09-09,15:29,NIFTY,-1.8196
2026-09-09,15:29,NIFTY100,-1.1691
2026-09-09,15:29,NIFTY200,-0.6759
2026-09-09,15:29,NIFTY500,-0.1605
2026-09-09,15:29,NIFTYAUTO,4.4319
2026-09-09,15:29,NIFTYCHEMICALS,1.6267
2026-09-09,15:29,NIFTYCOMMODITIES,-0.555
2026-09-09,15:29,NIFTYCONSUMPTION,0.1455
2026-09-09,15:29,NIFTYFINSERVICE,-4.4352
2026-09-09,15:29,NIFTYFMCG,-7.1421
2026-09-09,15:29,NIFTYHEALTHCARE,2.7349
2026-09-09,15:29,NIFTYHOUSING,1.7e+308
2026-09-09,15:29,NIFTYINDDEFENCE,3.9152
2026-09-09,15:29,NIFTYLARGEMID250,-0.1035
2026-09-09,15:29,NIFTYMEDIA,3.2501
2026-09-09,15:29,NIFTYMETAL,6.9673
2026-09-09,15:29,NIFTYMICROCAP250,6.0903
2026-09-09,15:29,NIFTYMIDCAP150,0.9515
2026-09-09,15:29,NIFTYMIDCAP50,2.2688
2026-09-09,15:29,NIFTYMIDSELECT,1.2342
2026-09-09,15:29,NIFTYMIDSMALLCAP400,1.9966
2026-09-09,15:29,NIFTYOILANDGAS,-0.0113
2026-09-09,15:29,NIFTYPSUBANK,-1.4536
2026-09-09,15:29,NIFTYPVTBANK,-2.5595
2026-09-09,15:29,NIFTYSMALLCAP250,4.016
2026-09-09,15:29,NIFTYSMALLCAP50,7.3485
2026-09-09,15:29,NIFTYTOTALMKT,0.1156
