date,time,group,4w ema,20w ema,30w ema,40w ema,52w ema
2026-09-04,15:29,aerospace & defence,47.0588,64.7059,64.7059,67.6471,73.5294
2026-09-04,15:29,auto,30.0971,56.3107,59.2233,58.2524,58.2524
2026-09-04,15:29,bank,51.2195,58.5366,65.8537,70.7317,70.7317
2026-09-04,15:29,building materials,39.5833,40.625,37.5,33.3333,30.2083
2026-09-04,15:29,chemicals,49.6855,61.6352,62.2642,55.9748,52.2013
2026-09-04,15:29,co-working,40,60,60,60,60
2026-09-04,15:29,consumer discretionary,37.6623,49.3506,51.2987,50,49.3506
2026-09-04,15:29,energy,58.9744,64.1026,56.4103,56.4103,56.4103
2026-09-04,15:29,financials,47.7064,51.8349,51.3761,50,47.7064
2026-09-04,15:29,fmcg,40.9091,52.5974,51.2987,51.2987,50
2026-09-04,15:29,healthcare,59.8765,71.6049,71.6049,70.9877,69.7531
2026-09-04,15:29,i.t,34.8315,41.573,39.3258,37.0787,35.9551
2026-09-04,15:29,indices,21.4623,68.1604,73.1132,72.1698,73.5849
2026-09-04,15:29,industrials,47.3913,56.9565,59.1304,59.5652,58.6957
2026-09-04,15:29,media,31.25,33.3333,31.25,31.25,25
2026-09-04,15:29,metals & mining,46.5116,55.0388,54.2636,51.938,53.4884
2026-09-04,15:29,miscellaneous,40.4762,40.4762,42.8571,40.4762,38.0952
2026-09-04,15:29,n/a,35.3774,37.7358,39.6226,39.1509,40.0943
2026-09-04,15:29,plastic products,45.1613,38.7097,35.4839,32.2581,25.8065
2026-09-04,15:29,power & utilities,21.875,15.625,25,25,25
2026-09-04,15:29,realty,34.2246,34.7594,31.5508,32.0856,31.016
2026-09-04,15:29,services,35.8974,38.4615,35.8974,33.3333,33.3333
2026-09-04,15:29,telecom,40,50,50,50,50
2026-09-04,15:29,telecom-service,27.2727,27.2727,27.2727,27.2727,27.2727
2026-09-04,15:29,textiles,44.9612,48.062,46.5116,42.6357,41.0853
2026-09-04,15:29,transportation,42.3077,53.8462,63.4615,57.6923,53.8462
2026-09-07,15:29,aerospace & defence,58.8235,64.7059,64.7059,67.6471,67.6471
2026-09-07,15:29,auto,33.9806,52.4272,56.3107,57.2816,58.2524
2026-09-07,15:29,bank,34.1463,56.0976,63.4146,60.9756,68.2927
2026-09-07,15:29,building materials,43.75,40.625,39.5833,33.3333,31.25
2026-09-07,15:29,chemicals,47.7987,58.4906,60.3774,56.6038,52.8302
2026-09-07,15:29,co-working,40,60,60,60,60
2026-09-07,15:29,consumer discretionary,40.2597,47.4026,50,50.6494,49.3506
2026-09-07,15:29,energy,56.4103,64.1026,61.5385,58.9744,56.4103
2026-09-07,15:29,financials,42.6606,49.0826,51.3761,49.5413,47.7064
2026-09-07,15:29,fmcg,39.6104,51.2987,51.9481,50.6494,49.3506
2026-09-07,15:29,healthcare,60.4938,70.9877,72.2222,70.3704,70.3704
2026-09-07,15:29,i.t,32.5843,40.4494,37.6404,37.0787,35.9551
2026-09-07,15:29,indices,17.9245,55.4245,62.9717,66.7453,68.6321
2026-09-07,15:29,industrials,44.7826,56.087,58.6957,60,60
2026-09-07,15:29,media,22.9167,29.1667,31.25,31.25,25
2026-09-07,15:29,metals & mining,42.6357,51.1628,55.0388,53.4884,54.2636
2026-09-07,15:29,miscellaneous,33.3333,42.8571,42.8571,42.8571,40.4762
2026-09-07,15:29,n/a,34.434,36.3208,37.2642,37.2642,37.2642
2026-09-07,15:29,plastic products,58.0645,51.6129,38.7097,35.4839,32.2581
2026-09-07,15:29,power & utilities,12.5,12.5,18.75,21.875,21.875
2026-09-07,15:29,realty,33.6898,34.7594,31.5508,31.5508,31.016
2026-09-07,15:29,services,30.7692,35.8974,35.8974,34.188,34.188
2026-09-07,15:29,telecom,40,50,50,50,50
2026-09-07,15:29,telecom-service,36.3636,18.1818,18.1818,27.2727,27.2727
2026-09-07,15:29,textiles,40.3101,44.9612,43.4109,42.6357,40.3101
2026-09-07,15:29,transportation,36.5385,51.9231,55.7692,55.7692,50
2026-09-08,15:29,aerospace & defence,70.5882,64.7059,70.5882,70.5882,70.5882
2026-09-08,15:29,auto,38.835,53.3981,56.3107,57.2816,59.2233
2026-09-08,15:29,bank,31.7073,48.7805,60.9756,60.9756,65.8537
2026-09-08,15:29,building materials,43.75,40.625,38.5417,35.4167,32.2917
2026-09-08,15:29,chemicals,53.4591,60.3774,58.4906,55.3459,52.8302
2026-09-08,15:29,co-working,40,60,60,60,60
2026-09-08,15:29,consumer discretionary,39.6104,49.3506,50.6494,50,50
2026-09-08,15:29,energy,61.5385,64.1026,61.5385,58.9744,58.9744
2026-09-08,15:29,financials,38.0734,47.7064,49.0826,47.7064,46.3303
2026-09-08,15:29,fmcg,39.6104,50,51.2987,50,49.3506
2026-09-08,15:29,healthcare,57.4074,72.8395,72.2222,72.2222,71.6049
2026-09-08,15:29,i.t,29.7753,41.573,38.2022,36.5169,35.3933
2026-09-08,15:29,indices,20.7547,53.066,61.3208,66.5094,69.1038
2026-09-08,15:29,industrials,47.3913,57.8261,60.8696,60,60.4348
2026-09-08,15:29,media,20.8333,29.1667,31.25,27.0833,25
2026-09-08,15:29,metals & mining,48.062,55.0388,56.5891,57.3643,55.814
2026-09-08,15:29,miscellaneous,32.1429,39.2857,41.6667,39.2857,40.4762
2026-09-08,15:29,n/a,32.0755,34.9057,37.2642,37.2642,37.7358
2026-09-08,15:29,plastic products,64.5161,45.1613,35.4839,35.4839,35.4839
2026-09-08,15:29,power & utilities,15.625,15.625,21.875,21.875,25
2026-09-08,15:29,realty,30.4813,32.6203,29.9465,30.4813,29.9465
2026-09-08,15:29,services,34.188,36.7521,37.6068,35.0427,36.7521
2026-09-08,15:29,telecom,40,50,50,50,50
2026-09-08,15:29,telecom-service,45.4545,27.2727,27.2727,27.2727,27.2727
2026-09-08,15:29,textiles,44.9612,44.186,43.4109,43.4109,40.3101
2026-09-08,15:29,transportation,38.4615,51.9231,53.8462,53.8462,51.9231
2026-09-09,15:29,aerospace & defence,64.7059,67.6471,70.5882,70.5882,73.5294
2026-09-09,15:29,auto,35.9223,53.3981,54.3689,56.3107,58.2524
2026-09-09,15:29,bank,26.8293,48.7805,60.9756,63.4146,65.8537
2026-09-09,15:29,building materials,44.7917,40.625,36.4583,34.375,33.3333
2026-09-09,15:29,chemicals,48.4277,57.8616,56.6038,54.717,52.2013
2026-09-09,15:29,co-working,40,60,60,60,60
2026-09-09,15:29,consumer discretionary,37.013,49.3506,50,50,50
2026-09-09,15:29,energy,61.5385,64.1026,61.5385,61.5385,61.5385
2026-09-09,15:29,financials,27.5229,45.4128,46.789,46.789,45.8716
2026-09-09,15:29,fmcg,33.1169,49.3506,48.0519,48.0519,44.8052
2026-09-09,15:29,healthcare,59.2593,71.6049,72.2222,71.6049,72.2222
2026-09-09,15:29,i.t,28.0899,39.8876,37.0787,35.3933,34.8315
2026-09-09,15:29,indices,24.7642,50.4717,58.2547,60.8491,66.5094
2026-09-09,15:29,industrials,47.3913,59.5652,60.8696,59.5652,58.6957
2026-09-09,15:29,media,18.75,31.25,31.25,25,25
2026-09-09,15:29,metals & mining,53.4884,58.1395,57.3643,55.814,59.6899
2026-09-09,15:29,miscellaneous,32.5301,38.5542,39.759,39.759,39.759
2026-09-09,15:29,n/a,35.3774,35.3774,36.3208,37.7358,37.7358
2026-09-09,15:29,plastic products,45.1613,38.7097,35.4839,35.4839,32.2581
2026-09-09,15:29,power & utilities,31.25,15.625,21.875,21.875,28.125
2026-09-09,15:29,realty,29.4118,33.1551,30.4813,30.4813,28.877
2026-09-09,15:29,services,29.661,35.5932,38.1356,34.7458,34.7458
2026-09-09,15:29,telecom,40,50,50,50,50
2026-09-09,15:29,telecom-service,45.4545,36.3636,27.2727,27.2727,27.2727
2026-09-09,15:29,textiles,40.3101,41.8605,41.0853,42.6357,40.3101
2026-09-09,15:29,transportation,38.4615,50,48.0769,53.8462,48.0769
2026-09-10,15:29,aerospace & defence,64.7059,67.6471,67.6471,67.6471,73.5294
2026-09-10,15:29,auto,35.9223,52.4272,56.3107,55.3398,58.2524
2026-09-10,15:29,bank,26.8293,48.7805,60.9756,58.5366,63.4146
2026-09-10,15:29,building materials,41.6667,38.5417,35.4167,35.4167,33.3333
