date,time,group,4w ema,20w ema,30w ema,40w ema,52w ema
2026-09-04,15:29,aerospace & defence,47.0588,64.7059,64.7059,67.6471,73.5294
2026-09-04,15:29,auto,30.0971,56.3107,59.2233,58.2524,58.2524
2026-09-04,15:29,bank,51.2195,58.5366,65.8537,70.7317,70.7317
2026-09-04,15:29,building materials,39.5833,40.625,37.5,33.3333,30.2083
2026-09-04,15:29,chemicals,49.6855,61.6352,62.2642,55.9748,52.2013
2026-09-04,15:29,co-working,40,60,60,60,60
2026-09-04,15:29,consumer discretionary,37.6623,49.3506,51.2987,50,49.3506
2026-09-04,15:29,energy,58.9744,64.1026,56.4103,56.4103,56.4103
2026-09-04,15:29,financials,47.7064,51.8349,51.3761,50,47.7064
2026-09-04,15:29,fmcg,40.9091,52.5974,51.2987,51.2987,50
2026-09-04,15:29,healthcare,59.8765,71.6049,71.6049,70.9877,69.7531
2026-09-04,15:29,i.t,34.8315,41.573,39.3258,37.0787,35.9551
2026-09-04,15:29,indices,21.4623,68.1604,73.1132,72.1698,73.5849
2026-09-04,15:29,industrials,47.3913,56.9565,59.1304,59.5652,58.6957
2026-09-04,15:29,media,31.25,33.3333,31.25,31.25,25
2026-09-04,15:29,metals & mining,46.5116,55.0388,54.2636,51.938,53.4884
2026-09-04,15:29,miscellaneous,40.4762,40.4762,42.8571,40.4762,38.0952
2026-09-04,15:29,n/a,35.3774,37.7358,39.6226,39.1509,40.0943
2026-09-04,15:29,plastic products,45.1613,38.7097,35.4839,32.2581,25.8065
2026-09-04,15:29,power & utilities,21.875,15.625,25,25,25
2026-09-04,15:29,realty,34.2246,34.7594,31.5508,32.0856,31.016
2026-09-04,15:29,services,35.8974,38.4615,35.8974,33.3333,33.3333
2026-09-04,15:29,telecom,40,50,50,50,50
2026-09-04,15:29,telecom-service,27.2727,27.2727,27.2727,27.2727,27.2727
2026-09-04,15:29,textiles,44.9612,48.062,46.5116,42.6357,41.0853
2026-09-04,15:29,transportation,42.3077,53.8462,63.4615,57.6923,53.8462
