date,time,group,close,yearhigh,market cap,market cap category,industry,sector,weekly return,current vol multiple of yearly avg
2026-09-04,15:29,ACMESOLAR,418,418,29547.3472,largecap,engineering - turnkey services,realty,6.1722,3.7411
2026-09-04,15:29,AKSHARCHEM,444.85,444.85,357.3524,smallcap,dyes and pigments,chemicals,27.4971,8.1813
2026-09-04,15:29,ALEMBICLTD,111.41,111.41,2860.8063,smallcap,construction,realty,11.3655,11.4013
2026-09-04,15:29,ANANDRATHI,2215.8999,2215.8999,36793.0846,largecap,finance & investments,financials,0.1129,0.2289
2026-09-04,15:29,ARMANFIN,2069.3,2069.3,2175.8195,smallcap,finance & investments,financials,1.7255,1.0228
2026-09-04,15:29,ARROWGREEN,814.1,814.1,1228.309,smallcap,plastics products,plastic products,17.6445,0.7212
2026-09-04,15:29,ARTEMISMED,332.8,332.8,5268.4319,midcap,healthcare,healthcare,4.2443,3.8446
2026-09-04,15:29,ASIANHOTNR,384.75,384.75,1640.3135,smallcap,hotels,services,21.7756,0.3365
2026-09-04,15:29,BALAMINES,2525.2,2525.2,8181.9005,midcap,chemicals,chemicals,5.6348,1.9824
2026-09-04,15:29,BHAGERIA,304.65,304.65,1329.6199,smallcap,dyes and pigments,chemicals,27.6021,1.0464
2026-09-04,15:29,BIRLACABLE,376.55,376.55,1129.65,smallcap,cables - telephone,industrials,27.5965,2.3454
2026-09-04,15:29,BLISSGVS,671,671,7116.3725,midcap,pharmaceuticals - indian - formulations,healthcare,14.0962,0.1447
2026-09-04,15:29,BLUSPRING,138.96,138.96,2076.6319,smallcap,diversified - large,miscellaneous,9.0481,1.1244
2026-09-04,15:29,BODALCHEM,155.62,155.62,1959.9415,smallcap,dyes and pigments,chemicals,57.065,9.6604
2026-09-04,15:29,BOSCH-HCIL,1818.8,1818.8,4945.478,smallcap,air-conditioners,consumer discretionary,7.2912,1.9409
2026-09-04,15:29,BTML,8.51,9.45,154.6248,smallcap,entertainment / electronic media software,media,-1.1614,0.6302
2026-09-04,15:29,CGCL,279.9,279.9,26930.6894,largecap,finance & investments,financials,8.4968,2.6944
2026-09-04,15:29,CHENNPETRO,1452.2,1452.2,21624.9135,largecap,refineries,energy,8.2842,0.4058
2026-09-04,15:29,CINELINE,95.23,95.23,362.9462,smallcap,entertainment / electronic media software,media,8.2405,13.8815
2026-09-04,15:29,CORDSCABLE,317,317,409.8106,smallcap,cables - power,industrials,26.1792,4.6462
2026-09-04,15:29,CRAFTSMAN,11398,11398,29810.8227,largecap,auto ancillaries,auto,2.5184,0.4078
2026-09-04,15:29,CYIENTDLM,856.95,857.2,6802.7577,midcap,electronics - components,aerospace & defence,4.6209,1.8952
2026-09-04,15:29,DEEPINDS,786.45,786.45,5033.28,midcap,oil drilling / allied services,energy,16.6061,3.5562
2026-09-04,15:29,DICIND,618.6,618.6,567.8115,smallcap,chemicals,chemicals,2.1466,11.8823
2026-09-04,15:29,DOLPHIN,674,674,2696.3087,smallcap,oil drilling / allied services,energy,10.0318,1.4516
2026-09-04,15:29,EDELWEISS,136.08,136.08,12880.4027,midcap,finance & investments,financials,8.4994,2.0391
2026-09-04,15:29,ELGIEQUIP,642.1,642.1,20348.7279,largecap,compressors / drilling equipment,industrials,2.107,1.1838
2026-09-04,15:29,ESSENTIA,1.05,1.93,184.3047,smallcap,trading,services,-2.7778,1.0223
2026-09-04,15:29,EXICOM,177.85,178.01,2473.5337,smallcap,electric equipment,industrials,5.9072,2.5782
2026-09-04,15:29,FCL,51.51,51.51,5998.3441,midcap,chemicals,chemicals,2.9582,1.7209
2026-09-04,15:29,FILATFASH,0.18,0.64,150.0133,smallcap,textiles - products,textiles,0,0.392
2026-09-04,15:29,GATECH,0.91,1.1,145.3945,smallcap,computers - software - medium / small,i.t,-14.1509,0.5087
2026-09-04,15:29,GEOJITFSL,82.72,83.7,2308.8982,smallcap,finance & investments,financials,-1.1708,0.3342
2026-09-04,15:29,GLOBAL,120.45,120.45,613.1086,smallcap,miscellaneous,services,10.5147,5.0302
2026-09-04,15:29,GTLINFRA,1.16,1.61,1485.857,smallcap,transmisson line towers / equipment,telecom,-3.3333,0.6474
2026-09-04,15:29,GUFICBIO,444.9,444.9,4461.5687,smallcap,pharmaceuticals - indian - bulk drugs & formln,healthcare,9.5004,0.7831
2026-09-04,15:29,HINDOILEXP,185,185,2446.5008,smallcap,oil drilling / allied services,energy,13.7342,1.9298
2026-09-04,15:29,HITECHCORP,337,337.65,578.8211,smallcap,packaging,industrials,1.2012,0.4089
2026-09-04,15:29,IDEA,15.02,15.19,162731.2386,largecap,telecommunications - service provider,telecom-service,2.3161,0.7235
2026-09-04,15:29,IDFCFIRSTB,86.71,87.5,74698.3741,largecap,banks - private sector,bank,4.3191,0.5112
2026-09-04,15:29,IFCI,101.38,101.38,27314.9587,largecap,finance - term-lending institutions,financials,12.6945,11.6414
2026-09-04,15:29,IGPL,567.4,567.4,1747.2998,smallcap,chemicals,chemicals,6.574,4.8139
2026-09-04,15:29,IL&FSENGG,36.75,37.57,481.87,smallcap,construction,realty,3.7842,3.6357
2026-09-04,15:29,INDORAMA,72.96,73.88,1905.0815,smallcap,textiles - manmade,textiles,14.6269,4.7672
2026-09-04,15:29,INNOVACAP,1175.4,1175.4,6726.2182,midcap,pharmaceuticals - indian - bulk drugs & formln,healthcare,11.4018,4.7268
2026-09-04,15:29,INOXINDIA,2247.8,2247.8,20401.8195,largecap,packaging,industrials,5.7191,4.8172
2026-09-04,15:29,IOLCP,199.95,199.95,5869.0826,midcap,pharmaceuticals - indian - bulk drugs & formln,healthcare,2.5648,1.5329
2026-09-04,15:29,IRISDOREME,63.58,63.58,1210.1275,smallcap,textiles - products,consumer discretionary,8.3135,4.5125
2026-09-04,15:29,IVC,10.24,10.24,321.5695,smallcap,finance & investments,financials,20.6125,3.513
2026-09-04,15:29,JINDWORLD,57.51,57.51,5765.9641,midcap,textiles - products,textiles,51.9017,31.4263
2026-09-04,15:29,JTLIND,91.67,92.4,3603.3793,smallcap,steel - medium / small,metals & mining,2.0029,0.7077
2026-09-04,15:29,KAMDHENU,39.24,39.24,1106.1089,smallcap,steel - medium / small,metals & mining,8.4877,0.8776
2026-09-04,15:29,KENNAMET,4688.5,4688.5,10304.4978,midcap,castings & forgings,industrials,2.3623,1.1561
2026-09-04,15:29,KOPRAN,232.54,232.54,1122.8335,smallcap,pharmaceuticals - indian - bulk drugs & formln,healthcare,15.2557,1.6298
2026-09-04,15:29,KTKBANK,340.1,340.1,12862.6954,midcap,banks - private sector,bank,2.9514,0.5209
2026-09-04,15:29,LANCORHOL,40.35,40.35,296.7765,smallcap,construction,realty,18.9213,17.0248
2026-09-04,15:29,LOKESHMACH,364.6,364.6,794.7102,smallcap,engineering,industrials,16.6907,0.8123
2026-09-04,15:29,MAHSEAMLES,688.1,688.1,9220.4885,midcap,steel - medium / small,metals & mining,3.9897,6.3945
2026-09-04,15:29,MANORAMA,1993.4,1993.4,11902.2984,midcap,food - processing - indian,fmcg,5.5044,2.5143
2026-09-04,15:29,MARALOVER,61.83,61.92,256.644,smallcap,textiles - cotton/blended,textiles,9.1439,10.908
2026-09-04,15:29,MARINE,432.15,432.6,6047.6977,midcap,electric equipment,industrials,6.2316,1.2621
2026-09-04,15:29,MENONBE,321.4,321.4,1801.1256,smallcap,auto ancillaries,auto,12.9225,1.9099
2026-09-04,15:29,MUKKA,31.34,31.34,940.2,smallcap,food - processing - indian,fmcg,25.0599,12.9484
2026-09-04,15:29,NDL,2.83,3.62,407.9365,smallcap,textiles - products,textiles,-6.2914,0.7092
2026-09-04,15:29,NIACL,229.91,229.91,37889.168,largecap,finance & investments,financials,23.382,20.7015
2026-09-04,15:29,NILKAMAL,2116.5,2116.5,3158.3524,smallcap,plastics products,plastic products,2.1526,0.543
2026-09-04,15:29,NRAIL,584,584,993.9154,smallcap,paper,building materials,17.3869,9.3479
2026-09-04,15:29,NRL,126.92,126.92,876.6237,smallcap,trading,services,1.536,1.4173
2026-09-04,15:29,OAL,519.9,519.9,1749.6494,smallcap,chemicals,chemicals,6.5806,5.8401
2026-09-04,15:29,OMAXE,136.38,136.38,2494.3976,smallcap,construction,realty,3.5221,3.8155
